model,aggregator,threshold,sensitivity,specificity,youden_j,auroc,auprc,brier,accuracy,n_pos,n_neg,cm_tn,cm_fp,cm_fn,cm_tp,sens_ci_lo,sens_ci_hi,auroc_ci_lo,auroc_ci_hi
random_forest,noisy_or,0.47368421052631576,0.5625,0.7435897435897436,0.3060897435897436,0.7259615384615384,0.4331140350877193,0.17466195132099024,0.6909090909090909,16,39,29,10,7,9,0.30365384615384616,0.7949999999999998,0.6046322765072765,0.842611434108527
random_forest,mean,0.4,0.375,0.7692307692307693,0.14423076923076916,0.5841346153846153,0.3452651515151515,0.20151515151515156,0.6545454545454545,16,39,30,9,10,6,0.13785714285714287,0.6486029411764705,0.4066029411764706,0.7427335911371236
random_forest,topk_mean,0.4,0.375,0.7692307692307693,0.14423076923076916,0.5969551282051282,0.35018939393939397,0.20053259871441687,0.6545454545454545,16,39,30,9,10,6,0.13785714285714287,0.6486029411764705,0.4215145931055022,0.7627930815430816
random_forest,geom_mean,0.4,0.375,0.7692307692307693,0.14423076923076916,0.5881410256410255,0.34529780564263324,0.2013186813186813,0.6545454545454545,16,39,30,9,10,6,0.13785714285714287,0.6486029411764705,0.4214065315315315,0.7435893210283454
random_forest,weighted_mean,0.4,0.375,0.7692307692307693,0.14423076923076916,0.5841346153846153,0.3452651515151515,0.20151515151515156,0.6545454545454545,16,39,30,9,10,6,0.13785714285714287,0.6486029411764705,0.4066029411764706,0.7427335911371236
lightgbm,voting,0.35714285714285715,0.3125,0.7692307692307693,0.08173076923076916,0.5448717948717948,0.31691017316017317,0.2047364400305577,0.6363636363636364,16,39,30,9,11,5,0.1,0.5714285714285714,0.4123372933884298,0.6821073217999621
lightgbm,p75,0.375,0.3125,0.8205128205128205,0.13301282051282048,0.6666666666666666,0.3930059523809524,0.1853162055335968,0.6727272727272727,16,39,32,7,11,5,0.1,0.5714285714285714,0.514888888888889,0.7896041666666667
lightgbm,topk_mean,0.375,0.3125,0.8205128205128205,0.13301282051282048,0.6754807692307692,0.3979072822822823,0.18427272727272728,0.6727272727272727,16,39,32,7,11,5,0.1,0.5714285714285714,0.52513326446281,0.7966355594869525
lightgbm,geom_mean,0.4,0.25,0.8717948717948718,0.1217948717948718,0.65625,0.38639794685990336,0.18727272727272726,0.6909090909090909,16,39,34,5,12,4,0.06447916666666667,0.4666666666666667,0.512268555308328,0.7735627177700348
lightgbm,weighted_mean,0.4,0.25,0.8717948717948718,0.1217948717948718,0.6586538461538461,0.3847222222222222,0.18545454545454546,0.6909090909090909,16,39,34,5,12,4,0.06447916666666667,0.4666666666666667,0.5397222222222222,0.7651609071099557
